Variables,Type,Variables_name_ENG,Variables_name_KOR
IS_Name_Out_Stat,0,Statistics,통계
IS_Name_DM_Models,0,DIspersal Types,확산유형
IS_Name_DM_Models_list,1,DM_Models_list,DM_Models_list
IS_Name_DM_Models_selected,0,BIOMOD2,BIOMOD2
IS_Name_CD_Models,0,Climate Models,기후모델
IS_Name_CD_Models_list,1,CD_Models_list,CD_Models_list
IS_Name_CD_Models_selected,0,KMA,KMA
IS_Name_CD_Scenarios,0,Climate Scenarios,기후시나리오
IS_Name_CD_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
IS_Name_CD_Scenarios_selected,0,RCP4.5,RCP4.5
IS_Name_CD_Year,0,Projecting Years,예측년도
IS_Name_CD_Year_list,1,CD_Year_list,CD_Year_list
IS_Name_CD_Year_selected,0,2000,2000
IS_Name_models,0,Model types,모델유형
IS_Name_models_list,1,SDM_models_list,SDM_models_list
IS_Name_models_selected,0,GLM,GLM
IS_Name_EMmodels,0,Ensemble,앙상블
IS_Name_models_run,0,Run,실행
IS_Name_models_out,0,Model types,모델유형
IS_Name_models_out_list,1,SDM_models_out_list,SDM_models_out_list
IS_Name_models_out_selected,0,GLM,GLM
IS_Name_Dir,0,Output Folder,외래종 평가결과 폴더
IS_Name_Action,0,Assessing Impact and Vulnerabilty,영향 및 취약성 평가 실행
IS_Name_Action_Admin,0,Grouping by Administration,행정구역별로 결과분석
IS_Name_Admin,0,Select a Administration Type,행정구역유형을 선택하세요
IS_Name_Admin_list,1,IS_Group_list,IS_Group_list
IS_Name_Admin_selected,0,SD,SD
IS_Name_CD_Models_out,0,Climate Models,기후모델
IS_Name_CD_Models_out_list,1,CD_Models_list,CD_Models_list
IS_Name_CD_Models_out_selected,0,KMA,KMA
IS_Name_CD_Scenarios_out,0,Climate Scenarios,기후시나리오
IS_Name_CD_Scenarios_out_list,1,CD_Scenarios_list,CD_Scenarios_list
IS_Name_CD_Scenarios_out_selected,0,RCP4.5,RCP4.5
IS_Name_CD_Year_out,0,Projecting Years,예측년도
IS_Name_CD_Year_out_list,1,CD_Year_list,CD_Year_list
IS_Name_CD_Year_out_selected,0,2000,2000
IS_Name_MO_Dir,0,Input Folder,외래종평가 입력폴더
IS_Name_AO_Dir,0,Output Folder,외래종평가 결과폴더
VH_Name,0,Climate Vulnerable Habitat,취약서식지
VH_Name_Analysis,0,Change Analysis,영향 및 취약성평가
VH_Name_Out,0,Model Outputs,평가결과
VH_Name_Out_Dir,0,Habitat Assessment Output Folder,평가결과 디렉토리
VH_Name_Out_SR,0,Species Richness,생물종 풍부도
VH_Name_Out_SL,0,Species Loss,생물종 소실
VH_Name_Out_SS,0,Species Stay,생물종 유지
VH_Name_Out_SI,0,Species Introduction,생물종 유입
VH_Name_Out_VI1,0,Vulnerability 1,취약성평가 1
VH_Name_Out_VI2,0,Vulnerability 2,취약성평가 2
VH_Name_Out_VI3,0,Vulnerability 3,취약성평가 3
VH_Name_Out_Map,0,Map,지도
VH_Name_Out_SIDO,0,SIDO,시도
VH_Name_Out_SGG,0,SIGUNGU,시군구
VH_Name_Out_NP,0,National Park,국립공원
VH_Name_Out_BR,0,Baekdu Range,백두대간
VH_Name_Out_DMZ,0,DMZ,DMZ
VH_Name_Out_Stat,0,Statistics,통계
VH_Name_DM_Models,0,DIspersal Types,확산유형
VH_Name_DM_Models_list,1,DM_Models_list,DM_Models_list
VH_Name_DM_Models_selected,0,BIOMOD2,BIOMOD2
VH_Name_CD_Models,0,Climate Models,기후모델
VH_Name_CD_Models_list,1,CD_Models_list,CD_Models_list
VH_Name_CD_Models_selected,0,KMA,KMA
VH_Name_CD_Scenarios,0,Climate Scenarios,기후시나리오
VH_Name_CD_Scenarios_list,1,CD_Scenarios_list,CD_Scenarios_list
VH_Name_CD_Scenarios_selected,0,RCP4.5,RCP4.5
VH_Name_CD_Year,0,Projecting Years,예측년도
VH_Name_CD_Year_list,1,CD_Year_list,CD_Year_list
VH_Name_CD_Year_selected,0,2000,2000
VH_Name_models,0,Model types,모델유형
VH_Name_models_list,1,SDM_models_list,SDM_models_list
VH_Name_models_selected,0,GLM,GLM
VH_Name_EMmodels,0,Ensemble,앙상블
VH_Name_models_run,0,Run,실행
VH_Name_Dir,0,Output Folder,서식지 평가결과 폴더
VH_Name_Action,0,Assessing Impact and Vulnerabilty,영향 및 취약성 평가 실행
VH_Name_Action_Habitat,0,Grouping by Habitat,서식지별로 결과분석
VH_Name_Habitat,0,Select a Habitat Type,서식지유형을 선택하세요
VH_Name_Habitat_list,1,VH_Group_list,VH_Group_list
VH_Name_Habitat_selected,0,SD,SD
VH_Name_models_out,0,Model types,모델유형
VH_Name_models_out_list,1,SDM_models_out_list,SDM_models_out_list
VH_Name_models_out_selected,0,GLM,GLM
VH_Name_CD_Models_out,0,Climate Models,기후모델
VH_Name_CD_Models_out_list,1,CD_Models_list,CD_Models_list
VH_Name_CD_Models_out_selected,0,KMA,KMA
VH_Name_CD_Scenarios_out,0,Climate Scenarios,기후시나리오
VH_Name_CD_Scenarios_out_list,1,CD_Scenarios_list,CD_Scenarios_list
VH_Name_CD_Scenarios_out_selected,0,RCP4.5,RCP4.5
VH_Name_CD_Year_out,0,Projecting Years,예측년도
VH_Name_CD_Year_out_list,1,CD_Year_list,CD_Year_list
VH_Name_CD_Year_out_selected,0,2000,2000
VH_Name_MO_Dir,0,Input Folder,취약서식지평가 입력폴더
VH_Name_AO_Dir,0,Output Folder,취약서식지평가 결과폴더
HELP_Name,0,Help,도움말
HELP_Name_Content,0,"MOTIVE Ecosystem (Climate Change Impact and Vulnerability Assessment Model for Ecosystem) was funded by the “Climate Change Response Technology Project” of the Ministry of Environment, the Republic of Korea (Project No.: 2014001310009)",MOTIVE Ecosystem (생태계 기후변화 영향 및 취약성평가모형)은 대한민국 환경부 기후변화 R&D 과제인 “Climate Change Response Technology Project” (Project No.: 2014001310009)의 결과물입니다.
